id,period,capacity,outage,percent_outage,capacity_units,outage_units,percent_outage_units,cluster
1,2024-11-27,99177.2,7139.38,7.2,megawatts,megawatts,percent,3
2,2024-11-26,99177.2,7906.04,7.97,megawatts,megawatts,percent,3
3,2024-11-25,99177.2,8391.24,8.46,megawatts,megawatts,percent,3
4,2024-11-24,99177.2,10032.5,10.12,megawatts,megawatts,percent,0
5,2024-11-23,99177.2,9808.61,9.89,megawatts,megawatts,percent,0
6,2024-11-22,99177.2,9083.26,9.16,megawatts,megawatts,percent,3
7,2024-11-21,99177.2,10344.33,10.43,megawatts,megawatts,percent,0
8,2024-11-20,99177.2,11330.78,11.42,megawatts,megawatts,percent,0
9,2024-11-19,99177.2,9873.07,9.95,megawatts,megawatts,percent,0
10,2024-11-18,99177.2,10339.87,10.43,megawatts,megawatts,percent,0
11,2024-11-17,99177.2,11829.69,11.93,megawatts,megawatts,percent,0
12,2024-11-16,99177.2,12878.58,12.99,megawatts,megawatts,percent,0
13,2024-11-15,99177.2,13565.65,13.68,megawatts,megawatts,percent,0
14,2024-11-14,99177.2,13979.12,14.1,megawatts,megawatts,percent,0
15,2024-11-13,99177.2,13818.91,13.93,megawatts,megawatts,percent,0
16,2024-11-12,99177.2,15230.53,15.36,megawatts,megawatts,percent,0
17,2024-11-11,99177.2,16352.44,16.49,megawatts,megawatts,percent,2
18,2024-11-10,99177.2,16333.78,16.47,megawatts,megawatts,percent,2
19,2024-11-09,99177.2,16265.5,16.4,megawatts,megawatts,percent,2
20,2024-11-08,99177.2,16763.22,16.9,megawatts,megawatts,percent,2
21,2024-11-07,99177.2,17386.06,17.53,megawatts,megawatts,percent,2
22,2024-11-06,99177.2,18448.89,18.6,megawatts,megawatts,percent,2
23,2024-11-05,99177.2,19971.1,20.14,megawatts,megawatts,percent,2
24,2024-11-04,99177.2,19615.61,19.78,megawatts,megawatts,percent,2
25,2024-11-03,99177.2,19777.23,19.94,megawatts,megawatts,percent,2
26,2024-11-02,99177.2,19589.97,19.75,megawatts,megawatts,percent,2
27,2024-11-01,99177.2,18816.63,18.97,megawatts,megawatts,percent,2
28,2024-10-31,99177.2,19283.2,19.44,megawatts,megawatts,percent,2
29,2024-10-30,99177.2,19546.19,19.71,megawatts,megawatts,percent,2
30,2024-10-29,99177.2,20930.51,21.1,megawatts,megawatts,percent,2
31,2024-10-28,99177.2,22165.1,22.35,megawatts,megawatts,percent,2
32,2024-10-27,99177.2,21380.01,21.56,megawatts,megawatts,percent,2
33,2024-10-26,99177.2,21287.39,21.46,megawatts,megawatts,percent,2
34,2024-10-25,99177.2,22134.73,22.32,megawatts,megawatts,percent,2
35,2024-10-24,99177.2,22149.04,22.33,megawatts,megawatts,percent,2
36,2024-10-23,99177.2,22149.82,22.33,megawatts,megawatts,percent,2
37,2024-10-22,99177.2,22096.22,22.28,megawatts,megawatts,percent,2
38,2024-10-21,99177.2,21682.59,21.86,megawatts,megawatts,percent,2
39,2024-10-20,99177.2,19540.11,19.7,megawatts,megawatts,percent,2
40,2024-10-19,99177.2,19511.47,19.67,megawatts,megawatts,percent,2
41,2024-10-18,99177.2,19951.15,20.12,megawatts,megawatts,percent,2
42,2024-10-17,99177.2,20113.76,20.28,megawatts,megawatts,percent,2
43,2024-10-16,99177.2,19964.19,20.13,megawatts,megawatts,percent,2
44,2024-10-15,99177.2,19395.91,19.56,megawatts,megawatts,percent,2
45,2024-10-14,99177.2,20789.39,20.96,megawatts,megawatts,percent,2
46,2024-10-13,99177.2,20414.2,20.58,megawatts,megawatts,percent,2
47,2024-10-12,99177.2,18423.89,18.58,megawatts,megawatts,percent,2
48,2024-10-11,99177.2,18109.97,18.26,megawatts,megawatts,percent,2
49,2024-10-10,99177.2,17159.31,17.3,megawatts,megawatts,percent,2
50,2024-10-09,99177.2,17159.31,17.3,megawatts,megawatts,percent,2
51,2024-10-08,99177.2,17185.39,17.33,megawatts,megawatts,percent,2
52,2024-10-07,99177.2,18191.21,18.34,megawatts,megawatts,percent,2
53,2024-10-06,99177.2,18969.28,19.13,megawatts,megawatts,percent,2
54,2024-10-05,99177.2,18989.16,19.15,megawatts,megawatts,percent,2
55,2024-10-04,99177.2,13719.72,13.83,megawatts,megawatts,percent,0
56,2024-10-03,99177.2,13321.42,13.43,megawatts,megawatts,percent,0
57,2024-10-02,99177.2,13331.65,13.44,megawatts,megawatts,percent,0
58,2024-10-01,99177.2,13078.89,13.19,megawatts,megawatts,percent,0
59,2024-09-30,96826.2,13850.35,14.3,megawatts,megawatts,percent,0
60,2024-09-29,96826.2,13312.15,13.75,megawatts,megawatts,percent,0
61,2024-09-28,96826.2,15083.9,15.58,megawatts,megawatts,percent,0
62,2024-09-27,96826.2,12086.09,12.48,megawatts,megawatts,percent,0
63,2024-09-26,96826.2,10648.93,11.0,megawatts,megawatts,percent,0
64,2024-09-25,96826.2,10270.84,10.61,megawatts,megawatts,percent,0
65,2024-09-24,96826.2,11085.35,11.45,megawatts,megawatts,percent,0
66,2024-09-23,96826.2,9215.81,9.52,megawatts,megawatts,percent,3
67,2024-09-22,96826.2,10354.94,10.69,megawatts,megawatts,percent,0
68,2024-09-21,96826.2,10888.73,11.25,megawatts,megawatts,percent,0
